"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_LLGMED_PILL_AGTEMINOL_DESC","<color rgba='222,226,230,255'>AGTEMINOL 25 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH TO CALM NERVES.<br/><color rgba='150,155,160,255'>NOTE: May cause mild drowsiness.</color>","<color rgba='222,226,230,255'>AGTEMINOL 25 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH TO CALM NERVES.<br/><color rgba='150,155,160,255'>NOTE: May cause mild drowsiness.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_VENLAFAXINE_DESC","<color rgba='222,226,230,255'>VENLAFAXINE 75 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH TO STEADY MOOD.<br/><color rgba='240,173,78,255'>CAUTION: Do not stop suddenly after repeated use.</color>","<color rgba='222,226,230,255'>VENLAFAXINE 75 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH TO STEADY MOOD.<br/><color rgba='240,173,78,255'>CAUTION: Do not stop suddenly after repeated use.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_ROMBIOPENTAL_DESC","<color rgba='222,226,230,255'>ROMBIOPENTAL 100 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH BEFORE ENTERING CONTAMINATED AIR.<br/><color rgba='150,155,160,255'>NOTE: Protective window is under one minute.</color>","<color rgba='222,226,230,255'>ROMBIOPENTAL 100 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH BEFORE ENTERING CONTAMINATED AIR.<br/><color rgba='150,155,160,255'>NOTE: Protective window is under one minute.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_B190_DESC","<color rgba='222,226,230,255'>INDRALIN (B-190) 150 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH BEFORE ENTERING A RADIATION ZONE.<br/><color rgba='240,173,78,255'>CAUTION: Preventive only. Does nothing once exposed.</color>","<color rgba='222,226,230,255'>INDRALIN (B-190) 150 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH BEFORE ENTERING A RADIATION ZONE.<br/><color rgba='240,173,78,255'>CAUTION: Preventive only. Does nothing once exposed.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_POTASSIUMIODIDE_DESC","<color rgba='222,226,230,255'>POTASSIUM IODIDE 130 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH BEFORE ENTERING A RADIATION ZONE.<br/><color rgba='150,155,160,255'>NOTE: Protects the thyroid only. Short duration.</color>","<color rgba='222,226,230,255'>POTASSIUM IODIDE 130 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH BEFORE ENTERING A RADIATION ZONE.<br/><color rgba='150,155,160,255'>NOTE: Protects the thyroid only. Short duration.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_HEXACYANOFERRATE_DESC","<color rgba='222,226,230,255'>FERRIC HEXACYANOFERRATE 500 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH AFTER RADIOACTIVE CONTAMINATION.<br/><color rgba='240,173,78,255'>CAUTION: Binds fallout in the gut. Not a cure.</color>","<color rgba='222,226,230,255'>FERRIC HEXACYANOFERRATE 500 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH AFTER RADIOACTIVE CONTAMINATION.<br/><color rgba='240,173,78,255'>CAUTION: Binds fallout in the gut. Not a cure.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_MEXAMINE_DESC","<color rgba='222,226,230,255'>MEXAMINE 50 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH IMMEDIATELY BEFORE HEAVY RADIATION EXPOSURE.<br/><color rgba='240,173,78,255'>WARNING: Very strong and very brief. High overdose risk.</color>","<color rgba='222,226,230,255'>MEXAMINE 50 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH IMMEDIATELY BEFORE HEAVY RADIATION EXPOSURE.<br/><color rgba='240,173,78,255'>WARNING: Very strong and very brief. High overdose risk.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_IVERSAN_DESC","<color rgba='222,226,230,255'>IVERSAN 12 MG · ORAL TABLET · CONTROLLED POISON</color><br/>UNLICENSED FORMULATION. NOT FIT FOR HUMAN USE.<br/><color rgba='217,83,79,255'>WARNING: Swallowing causes severe poisoning.</color>","<color rgba='222,226,230,255'>IVERSAN 12 MG · ORAL TABLET · CONTROLLED POISON</color><br/>UNLICENSED FORMULATION. NOT FIT FOR HUMAN USE.<br/><color rgba='217,83,79,255'>WARNING: Swallowing causes severe poisoning.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_ARSENIC_DESC","<color rgba='222,226,230,255'>ARSENIC TRIOXIDE 200 MG · ORAL TABLET · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT SWALLOW.<br/><color rgba='217,83,79,255'>DANGER: Poison. Causes fatal organ failure.</color>","<color rgba='222,226,230,255'>ARSENIC TRIOXIDE 200 MG · ORAL TABLET · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT SWALLOW.<br/><color rgba='217,83,79,255'>DANGER: Poison. Causes fatal organ failure.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_POTASSIUMCYANIDE_DESC","<color rgba='222,226,230,255'>POTASSIUM CYANIDE 300 MG · ORAL TABLET · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT SWALLOW.<br/><color rgba='217,83,79,255'>DANGER: Poison. Death follows within seconds.</color>","<color rgba='222,226,230,255'>POTASSIUM CYANIDE 300 MG · ORAL TABLET · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT SWALLOW.<br/><color rgba='217,83,79,255'>DANGER: Poison. Death follows within seconds.</color>","","","","","","","","","","","","",
"STR_LLGMED_PAINKILLERTABLETS_DESC","<color rgba='222,226,230,255'>CODEINE PHOSPHATE 30 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH FOR PAIN.<br/><color rgba='150,155,160,255'>NOTE: May cause drowsiness. Habit forming.</color>","<color rgba='222,226,230,255'>CODEINE PHOSPHATE 30 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH FOR PAIN.<br/><color rgba='150,155,160,255'>NOTE: May cause drowsiness. Habit forming.</color>","","","","","","","","","","","","",
"STR_LLGMED_TETRACYCLINEANTIBIOTICS_DESC","<color rgba='222,226,230,255'>TETRACYCLINE 250 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH FOR INFECTION.<br/><color rgba='240,173,78,255'>CAUTION: Avoid dairy. Finish the course.</color>","<color rgba='222,226,230,255'>TETRACYCLINE 250 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH FOR INFECTION.<br/><color rgba='240,173,78,255'>CAUTION: Avoid dairy. Finish the course.</color>","","","","","","","","","","","","",
"STR_LLGMED_CHARCOALTABLETS_DESC","<color rgba='222,226,230,255'>ACTIVATED CHARCOAL 500 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH AFTER SWALLOWING SPOILED FOOD.<br/><color rgba='150,155,160,255'>Works only on recent poisoning.</color>","<color rgba='222,226,230,255'>ACTIVATED CHARCOAL 500 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH AFTER SWALLOWING SPOILED FOOD.<br/><color rgba='150,155,160,255'>Works only on recent poisoning.</color>","","","","","","","","","","","","",
"STR_LLGMED_CHELATINGTABLETS_DESC","<color rgba='222,226,230,255'>CHELATION TABLETS (DMSA) 200 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR HEAVY-METAL OR CHEMICAL POISONING.<br/><color rgba='240,173,78,255'>WARNING: Strong binder. Depletes minerals with repeat use.</color>","<color rgba='222,226,230,255'>CHELATION TABLETS (DMSA) 200 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR HEAVY-METAL OR CHEMICAL POISONING.<br/><color rgba='240,173,78,255'>WARNING: Strong binder. Depletes minerals with repeat use.</color>","","","","","","","","","","","","",
"STR_LLGMED_VITAMINBOTTLE_DESC","<color rgba='222,226,230,255'>MULTIVITAMIN COMPLEX · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH DAILY TO SUPPORT IMMUNITY.<br/><color rgba='150,155,160,255'>Dietary supplement. Not a medicine.</color>","<color rgba='222,226,230,255'>MULTIVITAMIN COMPLEX · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH DAILY TO SUPPORT IMMUNITY.<br/><color rgba='150,155,160,255'>Dietary supplement. Not a medicine.</color>","","","","","","","","","","","","",
"STR_LLGMED_PURIFICATIONTABLETS_DESC","<color rgba='222,226,230,255'>WATER PURIFICATION TABLETS 8.5 MG · ORAL TABLET</color><br/>ADD 1 TABLET TO ONE LITRE OF WATER AND WAIT 30 MINUTES.<br/><color rgba='150,155,160,255'>NOTE: For water treatment only. Do not swallow dry.</color>","<color rgba='222,226,230,255'>WATER PURIFICATION TABLETS 8.5 MG · ORAL TABLET</color><br/>ADD 1 TABLET TO ONE LITRE OF WATER AND WAIT 30 MINUTES.<br/><color rgba='150,155,160,255'>NOTE: For water treatment only. Do not swallow dry.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_ALCOHOL_DESC","<color rgba='222,226,230,255'>MEDICAL ALCOHOL 96% · INJECTION AMPOULE</color><br/>FOR CLEANING WOUNDS AND INSTRUMENTS. EXTERNAL USE ONLY.<br/><color rgba='217,83,79,255'>DANGER: Never inject. Injection is fatal.</color>","<color rgba='222,226,230,255'>MEDICAL ALCOHOL 96% · INJECTION AMPOULE</color><br/>FOR CLEANING WOUNDS AND INSTRUMENTS. EXTERNAL USE ONLY.<br/><color rgba='217,83,79,255'>DANGER: Never inject. Injection is fatal.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_AMOXIVAN_DESC","<color rgba='222,226,230,255'>AMOXIVAN (AMOXICILLIN) 1 G · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR CHEST INFECTION.<br/><color rgba='240,173,78,255'>CAUTION: Full-strength antibiotic. Space doses apart.</color>","<color rgba='222,226,230,255'>AMOXIVAN (AMOXICILLIN) 1 G · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR CHEST INFECTION.<br/><color rgba='240,173,78,255'>CAUTION: Full-strength antibiotic. Space doses apart.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_KETAROL_DESC","<color rgba='222,226,230,255'>KETAROL (KETOROLAC) 30 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR INFECTION ACCOMPANIED BY PAIN.<br/><color rgba='240,173,78,255'>WARNING: Long acting. Do not stack with other painkillers.</color>","<color rgba='222,226,230,255'>KETAROL (KETOROLAC) 30 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR INFECTION ACCOMPANIED BY PAIN.<br/><color rgba='240,173,78,255'>WARNING: Long acting. Do not stack with other painkillers.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_FLEMOCLAV_DESC","<color rgba='222,226,230,255'>FLEMOCLAV 1.2 G · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE INFECTION AND SEPSIS.<br/><color rgba='240,173,78,255'>WARNING: Maximum-strength antibiotic. Clinical use.</color>","<color rgba='222,226,230,255'>FLEMOCLAV 1.2 G · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE INFECTION AND SEPSIS.<br/><color rgba='240,173,78,255'>WARNING: Maximum-strength antibiotic. Clinical use.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_IMIPENEM_DESC","<color rgba='222,226,230,255'>IMIPENEM 500 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE INFECTION AND SEPSIS.<br/><color rgba='240,173,78,255'>WARNING: Last-line antibiotic. Reserve for sepsis.</color>","<color rgba='222,226,230,255'>IMIPENEM 500 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE INFECTION AND SEPSIS.<br/><color rgba='240,173,78,255'>WARNING: Last-line antibiotic. Reserve for sepsis.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_NOVACAINE_DESC","<color rgba='222,226,230,255'>NOVOCAINE (PROCAINE) 2% · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR MODERATE PAIN.<br/><color rgba='240,173,78,255'>CAUTION: May cause numbness and light-headedness.</color>","<color rgba='222,226,230,255'>NOVOCAINE (PROCAINE) 2% · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR MODERATE PAIN.<br/><color rgba='240,173,78,255'>CAUTION: May cause numbness and light-headedness.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_MORPHINE_DESC","<color rgba='222,226,230,255'>MORPHINE SULFATE 10 MG/ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE PAIN.<br/><color rgba='240,173,78,255'>WARNING: Slows breathing. Habit forming.</color>","<color rgba='222,226,230,255'>MORPHINE SULFATE 10 MG/ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE PAIN.<br/><color rgba='240,173,78,255'>WARNING: Slows breathing. Habit forming.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_GEXOBARBITAL_DESC","<color rgba='222,226,230,255'>HEXOBARBITAL 500 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE PAIN WITH SEDATION.<br/><color rgba='240,173,78,255'>WARNING: Heavy sedation. Never combine with alcohol.</color>","<color rgba='222,226,230,255'>HEXOBARBITAL 500 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE PAIN WITH SEDATION.<br/><color rgba='240,173,78,255'>WARNING: Heavy sedation. Never combine with alcohol.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_KETAMIN_DESC","<color rgba='222,226,230,255'>KETAMINE 500 MG / 10 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE PAIN WHEN NOTHING ELSE WORKS.<br/><color rgba='240,173,78,255'>CAUTION: Causes dissociation and confusion.</color>","<color rgba='222,226,230,255'>KETAMINE 500 MG / 10 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE PAIN WHEN NOTHING ELSE WORKS.<br/><color rgba='240,173,78,255'>CAUTION: Causes dissociation and confusion.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_METOCLOPRAMID_DESC","<color rgba='222,226,230,255'>METOCLOPRAMIDE 10 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE NAUSEA AND VOMITING.<br/><color rgba='240,173,78,255'>CAUTION: May cause restlessness and muscle stiffness.</color>","<color rgba='222,226,230,255'>METOCLOPRAMIDE 10 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE NAUSEA AND VOMITING.<br/><color rgba='240,173,78,255'>CAUTION: May cause restlessness and muscle stiffness.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_HEPTRAL_DESC","<color rgba='222,226,230,255'>HEPTRAL (ADEMETIONINE) 400 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR LIVER DAMAGE CAUSED BY POISONING.<br/><color rgba='240,173,78,255'>WARNING: Maximum strength. Space doses widely.</color>","<color rgba='222,226,230,255'>HEPTRAL (ADEMETIONINE) 400 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR LIVER DAMAGE CAUSED BY POISONING.<br/><color rgba='240,173,78,255'>WARNING: Maximum strength. Space doses widely.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_NEIROX_DESC","<color rgba='222,226,230,255'>NEIROX 250 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR CONCUSSION AND HEAD INJURY.<br/><color rgba='240,173,78,255'>WARNING: Cerebral stimulant. Do not redose quickly.</color>","<color rgba='222,226,230,255'>NEIROX 250 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR CONCUSSION AND HEAD INJURY.<br/><color rgba='240,173,78,255'>WARNING: Cerebral stimulant. Do not redose quickly.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_ERYTHROPOETIN_DESC","<color rgba='222,226,230,255'>ERYTHROPOIETIN 4000 IU · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT TO REBUILD BLOOD OVER TIME.<br/><color rgba='240,173,78,255'>CAUTION: Slow acting. Thickens the blood if overused.</color>","<color rgba='222,226,230,255'>ERYTHROPOIETIN 4000 IU · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT TO REBUILD BLOOD OVER TIME.<br/><color rgba='240,173,78,255'>CAUTION: Slow acting. Thickens the blood if overused.</color>","","","","","","","","","","","","",
